	Course	Section	Faculty	Time	Room	Seats Available	
['97.', 'ARC111', '3', 'TRS', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'OAT803_V1', '0']
['98.', 'ARC112', '1', 'ASAA', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB901_v1', '0']
['99.', 'ARC112', '2', 'NSdi', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB901_v1', '0']
['100.', 'ARC112', '3', 'RSBR', 'STR', '09:10', 'AM', '-', '11:20', 'AM', 'LIB901_v1', '2']
['101.', 'ARC121', '1', 'MTU', 'MW', '09:10', 'AM', '-', '11:20', 'AM', 'OAT803', '2']
['102.', 'ARC121', '2', 'Siu', 'MW', '09:10', 'AM', '-', '11:20', 'AM', 'OAT803_V', '0']
['103.', 'ARC121', '3', 'RMY', 'MW', '09:10', 'AM', '-', '11:20', 'AM', 'OAT803_V1', '0']
['104.', 'ARC122', '1', 'SnF', 'MW', '09:10', 'AM', '-', '11:20', 'AM', 'LIB901_v1', '0']
['105.', 'ARC122', '2', 'MTm2', 'MW', '09:10', 'AM', '-', '11:20', 'AM', 'LIB901_v1', '0']
['106.', 'ARC122', '3', 'ALB', 'MW', '09:10', 'AM', '-', '11:20', 'AM', 'LIB901_v1', '0']
['107.', 'ARC123', '1', 'AHs1', 'MW', '12:40', 'PM', '-', '02:50', 'PM', 'LIB906', '1']
['108.', 'ARC123', '2', 'ASAA', 'MW', '12:40', 'PM', '-', '02:50', 'PM', 'LIB906_V', '0']
['109.', 'ARC123', '3', 'AHs1', 'MW', '09:10', 'AM', '-', '11:20', 'AM', 'LIB906', '4']
['110.', 'ARC131', '1', 'IsH', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'LIB907', '1']
['111.', 'ARC131', '2', 'AKd1', 'ST', '12:40', 'PM', '-', '01:40', 'PM', 'LIB907', '0']
['112.', 'ARC131', '3', 'ALB', 'ST', '12:40', 'PM', '-', '01:40', 'PM', 'SAC202', '0']
['113.', 'ARC131', '4', 'AKd1', 'ST', '03:00', 'PM', '-', '04:00', 'PM', 'LIB908', '0']
['114.', 'ARC131', '5', 'IsH', 'MW', '01:50', 'PM', '-', '02:50', 'PM', 'LIB908', '0']
['115.', 'ARC133', '1', 'RMY', 'M', '08:00', 'AM', '-', '09:00', 'AM', 'OAT901', '1']
['116.', 'ARC133', '2', 'MTU', 'W', '08:00', 'AM', '-', '09:00', 'AM', 'SAC201', '0']
['117.', 'ARC133', '3', 'SnF', 'R', '08:00', 'AM', '-', '09:00', 'AM', 'LIB907', '0']
['118.', 'ARC200', '3', 'SnF', 'R', '12:40', 'PM', '-', '02:50', 'PM', 'LIB906', '0']
